81 samples. 
Design parameters : A1  A2  A3  A4
Objective parameters :  AR  Bandwidth


A1	A2	A3	A4	AR-BW
0	0	0	0	63
0	0	0	120	67
0	0	0	240	96
0	0	120	0	0
0	0	120	120	0
0	0	120	240	0
0	0	240	0	0
0	0	240	120	0
0	0	240	240	0
0	120	0	0	0
0	120	0	120	4
0	120	0	240	0
0	120	120	0	108
0	120	120	120	109
0	120	120	240	150
0	120	240	0	149
0	120	240	120	150
0	120	240	240	150
0	240	0	0	0
0	240	0	120	19
0	240	0	240	0
0	240	120	0	0
0	240	120	120	0
0	240	120	240	0
0	240	240	0	6
0	240	240	120	0
0	240	240	240	81
120	0	0	0	80
120	0	0	120	78
120	0	0	240	113
120	0	120	0	0
120	0	120	120	0
120	0	120	240	0
120	0	240	0	0
120	0	240	120	0
120	0	240	240	0
120	120	0	0	0
120	120	0	120	0
120	120	0	240	0
120	120	120	0	130
120	120	120	120	114
120	120	120	240	150
120	120	240	0	130
120	120	240	120	117
120	120	240	240	125
120	240	0	0	0
120	240	0	120	54
120	240	0	240	0
120	240	120	0	0
120	240	120	120	0
120	240	120	240	0
120	240	240	0	80
120	240	240	120	79
120	240	240	240	119
240	0	0	0	91
240	0	0	120	97
240	0	0	240	101
240	0	120	0	0
240	0	120	120	0
240	0	120	240	67
240	0	240	0	0
240	0	240	120	0
240	0	240	240	0
240	120	0	0	0
240	120	0	120	0
240	120	0	240	0
240	120	120	0	130
240	120	120	120	120
240	120	120	240	151
240	120	240	0	132
240	120	240	120	151
240	120	240	240	128
240	240	0	0	0
240	240	0	120	0
240	240	0	240	0
240	240	120	0	0
240	240	120	120	0
240	240	120	240	0
240	240	240	0	0
240	240	240	120	52
240	240	240	240	75
