81 samples. 
Design parameters : A1  A2  A3  A4
Objective parameters :  AR  Bandwidth, Realized Gain and Pattern Roundness


A1	A2	A3	A4	AR-BW	RG	PR
0	0	0	0	71.5	7.73	2.25
0	0	0	120	57.3	7.38	1.72
0	0	0	240	100	7.19	2.08
0	0	120	0	0	6.85	2.36
0	0	120	120	0	7.42	2.24
0	0	120	240	0	7.32	2.07
0	0	240	0	0	7.9	3.7
0	0	240	120	0	7.49	3.24
0	0	240	240	0	7.6	3.24
0	120	0	0	0	7.74	4.05
0	120	0	120	60	7.89	2.72
0	120	0	240	0	7.62	3.26
0	120	120	0	115.7	7.22	2.56
0	120	120	120	139	7.63	1.92
0	120	120	240	160	7.58	2.16
0	120	240	0	148.2	7.16	1.86
0	120	240	120	164	6.96	1.45
0	120	240	240	167.9	7.29	1.8
0	240	0	0	0	7.17	2.41
0	240	0	120	0	7.45	1.7
0	240	0	240	0	7.02	1.61
0	240	120	0	0	7.33	3.54
0	240	120	120	0	7.56	3.4
0	240	120	240	0	7.59	2.86
0	240	240	0	0	6.91	1.81
0	240	240	120	0	7.07	2.26
0	240	240	240	100	7.31	1.9
120	0	0	0	91.6	7.06	1.92
120	0	0	120	70.9	6.68	1.03
120	0	0	240	110.9	6.51	1.15
120	0	120	0	0	6.61	1.49
120	0	120	120	0	7.24	2.07
120	0	120	240	0	7.12	1.52
120	0	240	0	0	7.41	2.81
120	0	240	120	0	7.11	2.54
120	0	240	240	0	7.27	2.81
120	120	0	0	52.3	7.98	4.19
120	120	0	120	95.5	8.2	3.38
120	120	0	240	45.5	7.92	3.77
120	120	120	0	117.8	7.79	2.82
120	120	120	120	127.8	8.12	3.13
120	120	120	240	114.7	8.14	2.83
120	120	240	0	114.7	7.11	2.11
120	120	240	120	125.4	7.15	2.37
120	120	240	240	114.3	7.3	2.32
120	240	0	0	0	7.63	2.42
120	240	0	120	0	7.91	2.72
120	240	0	240	0	7.54	2.48
120	240	120	0	0	7.85	4.06
120	240	120	120	0	8.1	4.46
120	240	120	240	0	8.15	3.44
120	240	240	0	89.3	7.23	2.06
120	240	240	120	0	7.33	3.01
120	240	240	240	162.2	7.62	2.32
240	0	0	0	95.9	7.15	1.44
240	0	0	120	111.1	6.99	1.07
240	0	0	240	107.8	6.64	1.26
240	0	120	0	0	7.37	2.35
240	0	120	120	0	7.83	2.35
240	0	120	240	43.6	7.8	2.26
240	0	240	0	0	7.99	3.03
240	0	240	120	0	7.8	3.06
240	0	240	240	0	7.94	3.3
240	120	0	0	0	7.36	3.82
240	120	0	120	0	7.49	2.59
240	120	0	240	0	7.2	3.03
240	120	120	0	156.3	7.06	2.53
240	120	120	120	188.1	7.32	2.59
240	120	120	240	138.3	7.23	2.36
240	120	240	0	150.3	6.71	1.31
240	120	240	120	167.8	6.55	1.17
240	120	240	240	116.5	6.91	1.46
240	240	0	0	0	7.32	2.47
240	240	0	120	0	7.61	2.78
240	240	0	240	0	7.26	2.85
240	240	120	0	0	7.87	4.62
240	240	120	120	0	8.14	4.83
240	240	120	240	0	8.14	4.03
240	240	240	0	71	7.74	2.83
240	240	240	120	0	7.84	3.75
240	240	240	240	45	8.05	3.25
